Region I - Ilocos,Ilocos Norte,"Adams, Ilocos Norte",12801,Active
Region I - Ilocos,Ilocos Norte,"Bacarra, Ilocos Norte",12802,Active
Region I - Ilocos,Ilocos Norte,"Badoc, Ilocos Norte",12803,Active
Region I - Ilocos,Ilocos Norte,"Bangui, Ilocos Norte",12804,Active
Region I - Ilocos,Ilocos Norte,"City of Batac, Ilocos Norte",12805,Active
Region I - Ilocos,Ilocos Norte,"Burgos, Ilocos Norte",12806,Active
Region I - Ilocos,Ilocos Norte,"Carasi, Ilocos Norte",12807,Active
Region I - Ilocos,Ilocos Norte,"Currimao, Ilocos Norte",12808,Active
Region I - Ilocos,Ilocos Norte,"Dingras, Ilocos Norte",12809,Active
Region I - Ilocos,Ilocos Norte,"Dumalneg, Ilocos Norte",12810,Active
Region I - Ilocos,Ilocos Norte,Banna,12811,Active
Region I - Ilocos,Ilocos Norte,City of Laoag,12812,Active
Region I - Ilocos,Ilocos Norte,"Marcos, Ilocos Norte",12813,Active
Region I - Ilocos,Ilocos Norte,"Nueva Era, Ilocos Norte",12814,Active
Region I - Ilocos,Ilocos Norte,"Pagudpud, Ilocos Norte",12815,Active
Region I - Ilocos,Ilocos Norte,"Paoay, Ilocos Norte",12816,Active
Region I - Ilocos,Ilocos Norte,"Pasuquin, Ilocos Norte",12817,Active
Region I - Ilocos,Ilocos Norte,"Piddig, Ilocos Norte",12818,Active
Region I - Ilocos,Ilocos Norte,"Pinili, Ilocos Norte",12819,Active
Region I - Ilocos,Ilocos Norte,"San Nicolas, Ilocos Norte",12820,Active
Region I - Ilocos,Ilocos Norte,"Sarrat, Ilocos Norte",12821,Active
Region I - Ilocos,Ilocos Norte,"Solsona, Ilocos Norte",12822,Active
Region I - Ilocos,Ilocos Norte,"Vintar, Ilocos Norte",12823,Active
Region I - Ilocos,Ilocos Sur,"Alilem, Ilocos Sur",12901,Active
Region I - Ilocos,Ilocos Sur,"Banayoyo, Ilocos Sur",12902,Active
Region I - Ilocos,Ilocos Sur,"Bantay, Ilocos Sur",12903,Active
Region I - Ilocos,Ilocos Sur,"Burgos, Ilocos Sur",12904,Active
Region I - Ilocos,Ilocos Sur,"Cabugao, Ilocos Sur",12905,Active
Region I - Ilocos,Ilocos Sur,"City of Candon, Ilocos Sur",12906,Active
Region I - Ilocos,Ilocos Sur,"Caoayan, Ilocos Sur",12907,Active
Region I - Ilocos,Ilocos Sur,"Cervantes, Ilocos Sur",12908,Active
Region I - Ilocos,Ilocos Sur,"Galimuyod, Ilocos Sur",12909,Active
Region I - Ilocos,Ilocos Sur,Gregorio del Pilar,12910,Active
Region I - Ilocos,Ilocos Sur,"Lidlidda, Ilocos Sur",12911,Active
Region I - Ilocos,Ilocos Sur,"Magsingal, Ilocos Sur",12912,Active
Region I - Ilocos,Ilocos Sur,"Nagbukel, Ilocos Sur",12913,Active
Region I - Ilocos,Ilocos Sur,"Narvacan, Ilocos Sur",12914,Active
